City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Tuy Hoa,VN,81.23,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
3,Rikitea,PF,71.1,overcast clouds,-23.1203,-134.9692,People ThankYou
4,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
11,Arraial Do Cabo,BR,72.64,clear sky,-22.9661,-42.0278,Pousada Porto Praia
14,Pemangkat,ID,86.11,broken clouds,1.1667,108.9667,Hotel Duyung Permai 2
28,Mataundh,IN,79.38,clear sky,25.45,80.15,आंगनबाड़ी केंद्र mataundh बांदा घुरहथोक संचालक रानी देवी
30,Kalmunai,LK,78.55,moderate rain,7.4167,81.8167,VS Villa
31,Bengkulu,ID,81.19,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
33,Hilo,US,82.13,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
34,Kapaa,US,75.09,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
35,Hobart,AU,77.25,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
38,Hithadhoo,MV,81.88,overcast clouds,-0.6,73.0833,Scoop Guest House
42,Victoria,HK,84.96,scattered clouds,22.2855,114.1577,Mini Central
49,Faanui,PF,78.98,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
53,Nawa,IN,80.2,clear sky,27.0167,75.0,"Sambharia Bhawan,Kuchaman Road,Nawa City"
57,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
59,Atuona,PF,77.14,clear sky,-9.8,-139.0333,Villa Enata
60,Butaritari,KI,81.3,few clouds,3.0707,172.7902,Isles Sunset Lodge
61,Marawi,PH,81.21,overcast clouds,7.9986,124.2928,Derogongan Residence
63,Saint-Philippe,RE,72.99,light rain,-21.3585,55.7679,Le four à pain
64,New Norfolk,AU,76.91,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
67,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
69,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
71,Masuguru,TZ,70.86,overcast clouds,-11.3667,38.4167,
75,Hirara,JP,80.87,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
78,Auki,SB,83.61,overcast clouds,-8.7676,160.7034,Auki Motel
79,Ponta Do Sol,PT,74.01,light rain,32.6667,-17.1,Hotel do Campo
84,Cockburn Town,TC,83.1,clear sky,21.4612,-71.1419,Osprey Beach Hotel
85,Nouakchott,MR,79.25,clear sky,18.0858,-15.9785,HOTEL IMAN
