City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Stantsionno-Oyashinskiy,RU,55.4664,83.8245,41.67,81,59,9.89,broken clouds
1,Tuy Hoa,VN,13.0833,109.3,81.23,78,90,9.89,overcast clouds
2,Geraldton,AU,-28.7667,114.6,69.37,62,37,14.74,scattered clouds
3,Rikitea,PF,-23.1203,-134.9692,71.1,70,99,19.44,overcast clouds
4,Vaini,TO,-21.2,-175.2,77.16,78,75,16.11,broken clouds
5,Ushuaia,AR,-54.8,-68.3,38.86,60,0,9.22,clear sky
6,Goma,CD,-1.6792,29.2228,61.92,89,92,3.15,overcast clouds
7,Cherskiy,RU,68.75,161.3,10.87,94,75,5.73,broken clouds
8,Lerwick,GB,60.1545,-1.1494,50.0,76,100,22.48,overcast clouds
9,Cidreira,BR,-30.1811,-50.2056,66.11,99,100,5.73,overcast clouds
10,Emba,KZ,48.8264,58.1442,51.15,54,56,5.28,broken clouds
11,Arraial Do Cabo,BR,-22.9661,-42.0278,72.64,87,4,30.29,clear sky
12,Bluff,NZ,-46.6,168.3333,49.89,54,80,11.34,broken clouds
13,Birobidzhan,RU,48.8,132.95,41.63,76,100,3.6,moderate rain
14,Pemangkat,ID,1.1667,108.9667,86.11,65,83,5.88,broken clouds
15,Bredasdorp,ZA,-34.5322,20.0403,54.36,89,54,3.65,broken clouds
16,Klaksvik,FO,62.2266,-6.589,49.12,80,100,20.0,overcast clouds
17,Tiksi,RU,71.6872,128.8694,3.96,92,9,9.28,clear sky
18,Puerto Ayora,EC,-0.7393,-90.3518,67.55,93,98,4.0,overcast clouds
19,Ribeira Grande,PT,38.5167,-28.7,65.77,63,23,13.67,few clouds
20,Clyde River,CA,70.4692,-68.5914,21.43,79,100,13.8,overcast clouds
21,Port Elizabeth,ZA,-33.918,25.5701,57.49,88,75,2.3,broken clouds
22,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,86,100,10.36,light snow
23,Yei,SS,4.095,30.6779,65.75,96,100,1.79,light rain
24,Cape Town,ZA,-33.9258,18.4232,64.38,78,0,9.22,clear sky
25,Barraute,CA,48.4335,-77.6328,34.07,88,100,10.89,light snow
26,Kodiak,US,57.79,-152.4072,45.91,53,0,6.82,clear sky
27,Harare,ZW,-17.8294,31.0539,61.18,70,2,6.6,clear sky
28,Mataundh,IN,25.45,80.15,79.38,48,0,3.76,clear sky
29,Buta,CD,2.7858,24.73,69.87,100,100,2.48,light rain
30,Kalmunai,LK,7.4167,81.8167,78.55,85,100,1.72,moderate rain
31,Bengkulu,ID,-3.8004,102.2655,81.19,76,100,5.64,overcast clouds
32,La Ronge,CA,55.1001,-105.2842,52.05,43,75,16.11,broken clouds
33,Hilo,US,19.7297,-155.09,82.13,74,20,12.66,few clouds
34,Kapaa,US,22.0752,-159.319,75.09,79,100,1.01,overcast clouds
