City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cape Town,ZA,2022-10-19 21:39:30,-33.9258,18.4232,64.81,74,75,10.36
1,Cidreira,BR,2022-10-19 21:40:44,-30.1811,-50.2056,63.84,94,22,3.22
2,Hithadhoo,MV,2022-10-19 21:40:44,-0.6,73.0833,80.02,78,98,8.55
3,Rikitea,PF,2022-10-19 21:40:44,-23.1203,-134.9692,70.0,72,99,18.48
4,Luderitz,NA,2022-10-19 21:40:45,-26.6481,15.1594,60.22,90,11,15.05
5,Marsa Matruh,EG,2022-10-19 21:40:45,31.3525,27.2453,66.4,77,20,2.3
6,Jamestown,US,2022-10-19 21:40:45,42.097,-79.2353,39.02,78,100,17.27
7,Yerbogachen,RU,2022-10-19 21:40:46,61.2767,108.0108,26.76,91,91,7.34
8,Pauini,BR,2022-10-19 21:40:46,-7.7136,-66.9764,84.22,61,83,2.73
9,Port Lincoln,AU,2022-10-19 21:40:47,-34.7333,135.8667,59.63,81,36,12.77
10,Yellowknife,CA,2022-10-19 21:38:10,62.456,-114.3525,43.32,93,75,12.66
11,Maarianhamina,AX,2022-10-19 21:40:47,60.0973,19.9348,44.46,81,0,5.75
12,Madhupur,IN,2022-10-19 21:40:47,24.25,86.65,69.49,63,0,5.75
13,Saint George,US,2022-10-19 21:40:48,37.1041,-113.5841,84.25,15,0,6.91
14,Ushuaia,AR,2022-10-19 21:40:48,-54.8,-68.3,40.66,87,75,24.16
15,Bluff,NZ,2022-10-19 21:40:49,-46.6,168.3333,50.29,69,93,27.25
16,Busselton,AU,2022-10-19 21:40:49,-33.65,115.3333,57.61,85,96,6.93
17,Lavrentiya,RU,2022-10-19 21:40:49,65.5833,-171.0,35.94,89,100,25.97
18,Vaini,TO,2022-10-19 21:40:50,-21.2,-175.2,77.16,94,75,10.36
19,Monrovia,LR,2022-10-19 21:40:50,6.3005,-10.7969,76.77,86,99,7.38
20,Cuamba,MZ,2022-10-19 21:40:51,-14.8031,36.5372,75.18,50,92,2.91
21,Nabire,ID,2022-10-19 21:40:51,-3.3667,135.4833,75.58,92,100,3.44
22,Norrtalje,SE,2022-10-19 21:40:52,59.758,18.705,42.03,83,78,6.58
23,Bulgan,MN,2022-10-19 21:40:52,48.8125,103.5347,37.27,78,100,1.83
24,Smithers,CA,2022-10-19 21:40:52,54.7804,-127.1743,55.72,58,75,4.61
25,Karratha,AU,2022-10-19 21:40:53,-20.7377,116.8463,73.8,72,0,7.67
26,Somerset West,ZA,2022-10-19 21:40:53,-34.084,18.8211,64.22,83,88,1.99
27,Lompoc,US,2022-10-19 21:35:56,34.6391,-120.4579,95.14,25,0,13.8
28,Flinders,AU,2022-10-19 21:40:54,-34.5833,150.8552,68.38,88,100,4.0
29,Port Alfred,ZA,2022-10-19 21:40:54,-33.5906,26.891,73.58,82,41,10.67
30,Coihaique,CL,2022-10-19 21:40:43,-45.5752,-72.0662,56.01,67,75,9.22
31,Anadyr,RU,2022-10-19 21:40:55,64.75,177.4833,39.7,100,75,11.18
32,Airai,TL,2022-10-19 21:40:55,-8.9266,125.4092,63.72,87,90,1.41
33,Mahebourg,MU,2022-10-19 21:40:55,-20.4081,57.7,70.09,68,20,6.91
34,Laguna,US,2022-10-19 21:40:56,38.421,-121.4238,91.31,27,0,3.44
35,Manohar Thana,IN,2022-10-19 21:40:56,24.24,76.8018,67.17,64,0,5.12
36,Upernavik,GL,2022-10-19 21:40:57,72.7868,-56.1549,21.25,82,100,2.77
37,Nikolskoye,RU,2022-10-19 21:40:57,59.7035,30.7861,39.09,88,85,4.61
38,Hobart,AU,2022-10-19 21:40:57,-42.8794,147.3294,55.26,74,20,5.75
39,Kodiak,US,2022-10-19 21:40:58,57.79,-152.4072,51.31,50,0,0.0
40,Cabedelo,BR,2022-10-19 21:38:28,-6.9811,-34.8339,77.67,72,9,15.32
41,Mumford,GH,2022-10-19 21:40:49,5.2618,-0.759,77.83,87,6,10.42
42,Staryy Nadym,RU,2022-10-19 21:40:58,65.6118,72.6842,35.83,90,100,15.05
43,Hasaki,JP,2022-10-19 21:40:59,35.7333,140.8333,54.28,51,0,14.34
44,Kavieng,PG,2022-10-19 21:40:59,-2.5744,150.7967,83.5,73,99,11.99
45,Barbacoas,CO,2022-10-19 21:40:59,1.6715,-78.1398,76.48,91,100,4.32
46,Fortuna,US,2022-10-19 21:42:00,40.5982,-124.1573,61.72,76,0,10.36
47,Klaksvik,FO,2022-10-19 21:42:00,62.2266,-6.589,43.72,70,57,8.72
48,Mogadishu,SO,2022-10-19 21:42:00,2.0371,45.3438,77.09,82,5,13.09
49,Dikson,RU,2022-10-19 21:42:01,73.5069,80.5464,32.52,98,100,18.9
50,Saint Anthony,US,2022-10-19 21:42:01,45.0205,-93.218,49.3,28,100,10.36
51,Esmeraldas,BR,2022-10-19 21:42:02,-19.7625,-44.3139,79.66,79,98,10.27
52,Punta Arenas,CL,2022-10-19 21:42:02,-53.15,-70.9167,42.91,75,75,26.46
53,Albany,US,2022-10-19 21:40:10,42.6001,-73.9662,48.61,59,98,1.99
54,Kapaa,US,2022-10-19 21:42:03,22.0752,-159.319,76.98,85,100,14.97
55,Mataura,NZ,2022-10-19 21:42:03,-46.1927,168.8643,53.31,51,58,10.8
56,Thompson,CA,2022-10-19 21:42:04,55.7435,-97.8558,41.16,75,40,10.36
57,Channel-Port Aux Basques,CA,2022-10-19 21:42:04,47.5702,-59.1367,54.34,97,100,24.05
58,Pacific Grove,US,2022-10-19 21:42:05,36.6177,-121.9166,93.65,21,0,4.61
59,Zhaozhou,CN,2022-10-19 21:42:05,45.6833,125.3167,42.13,41,100,2.13
60,Hopelchen,MX,2022-10-19 21:42:06,19.7667,-89.85,71.51,99,100,5.99
61,Butaritari,KI,2022-10-19 21:42:06,3.0707,172.7902,81.86,69,100,15.05
62,Foam Lake,CA,2022-10-19 21:42:07,51.65,-103.5343,64.42,36,97,7.58
63,Roebourne,AU,2022-10-19 21:42:07,-20.7833,117.1333,73.83,66,0,7.87
64,New Norfolk,AU,2022-10-19 21:42:08,-42.7826,147.0587,54.91,60,63,1.01
65,Chuy,UY,2022-10-19 21:42:08,-33.6971,-53.4616,59.97,94,9,8.3
66,Clyde River,CA,2022-10-19 21:42:09,70.4692,-68.5914,14.23,79,75,6.91
67,Georgetown,MY,2022-10-19 21:42:09,5.4112,100.3354,78.24,90,20,5.01
68,Sabzevar,IR,2022-10-19 21:42:10,36.2126,57.6819,54.68,62,0,13.8
69,Cap Malheureux,MU,2022-10-19 21:42:10,-19.9842,57.6142,66.47,74,22,3.0
70,Mosquera,CO,2022-10-19 21:42:12,4.7059,-74.2302,62.69,72,75,11.5
71,Hambantota,LK,2022-10-19 21:42:13,6.1241,81.1185,79.14,94,20,6.91
72,Lorengau,PG,2022-10-19 21:42:13,-2.0226,147.2712,83.93,67,100,6.46
73,Inuvik,CA,2022-10-19 21:42:14,68.3499,-133.7218,27.36,93,100,9.22
74,Mar Del Plata,AR,2022-10-19 21:42:14,-38.0023,-57.5575,64.09,96,75,15.99
75,Hokitika,NZ,2022-10-19 21:42:15,-42.7167,170.9667,55.0,69,100,9.57
76,Denizli,TR,2022-10-19 21:42:15,37.8402,29.0698,63.0,63,0,2.37
77,Lebu,CL,2022-10-19 21:42:16,-37.6167,-73.65,54.28,82,41,7.99
78,Avarua,CK,2022-10-19 21:42:17,-21.2078,-159.775,80.65,65,20,17.27
79,Najran,SA,2022-10-19 21:40:30,17.4924,44.1277,66.85,24,0,2.01
80,Shimoda,JP,2022-10-19 21:42:18,34.6667,138.95,54.1,67,0,11.39
81,Tiznit,MA,2022-10-19 21:42:18,29.5833,-9.5,77.2,28,28,5.75
82,Puerto Ayora,EC,2022-10-19 21:42:19,-0.7393,-90.3518,75.16,85,93,7.0
83,Otradnoye,RU,2022-10-19 21:41:11,59.7775,30.8181,39.25,87,87,4.65
84,Saint-Philippe,RE,2022-10-19 21:42:19,-21.3585,55.7679,65.79,73,35,8.16
85,Victoria,HK,2022-10-19 21:40:34,22.2855,114.1577,74.32,66,81,7.0
86,Lahij,YE,2022-10-19 21:42:20,13.1667,44.5833,79.34,48,0,3.33
87,Farim,GW,2022-10-19 21:42:20,12.4839,-15.2217,75.42,89,18,1.7
88,Dunedin,NZ,2022-10-19 21:42:21,-45.8742,170.5036,53.8,67,91,1.01
89,Viedma,AR,2022-10-19 21:42:21,-40.8135,-62.9967,73.74,43,92,13.49
90,Abha,SA,2022-10-19 21:42:22,18.2164,42.5053,59.25,29,0,0.0
91,Ayni,TJ,2022-10-19 21:43:22,39.3941,68.5377,24.04,71,33,7.54
92,Cabo San Lucas,MX,2022-10-19 21:43:23,22.8909,-109.9124,89.62,71,13,6.02
93,Imeni Poliny Osipenko,RU,2022-10-19 21:43:23,52.4201,136.4853,32.86,82,100,4.9
94,Abong Mbang,CM,2022-10-19 21:43:24,3.9833,13.1833,68.58,99,100,3.0
95,Campobasso,IT,2022-10-19 21:43:24,41.6333,14.5833,64.94,74,0,3.09
96,Aksum,ET,2022-10-19 21:43:24,14.1245,38.7244,62.38,46,71,5.66
97,Atuona,PF,2022-10-19 21:43:25,-9.8,-139.0333,76.82,67,1,13.06
